RGBM v2.1.6l-wc10 flat02
Classification: CURRENT
Status: INTERNAL COMPLIANCE AUDIT
Normal URL: https://hzzmbgth7t-beep.github.io/RGBMILEAGETracker/
Cache-buster URL: https://hzzmbgth7t-beep.github.io/RGBMILEAGETracker/?v=216lwc10flat2

static_audit_pass: PASS
browser_geometry_audit_pass: PASS
all_70_executable_tests_pass: PASS
document_audit_pass: PASS
json_audit_pass: PASS
source_directory_exists: PASS
source_has_zero_subdirectories: PASS
every_source_entry_is_a_file: PASS
no_filename_contains_forward_slash: PASS
no_filename_contains_backslash: PASS
runtime_files_present: PASS
four_test_harnesses_present: PASS
fixtures_present: PASS
reference_zips_present: PASS
browser_evidence_present: PASS
document_index_present: PASS
every_source_file_indexed: PASS
future_manifest_indexed: PASS
negative_flat01_record_present: PASS

real_device_first_launch: N/A
real_device_relaunch: N/A
iphone_standalone_portrait: N/A
iphone_standalone_landscape: N/A
shell_dock_chrome_acceptance: N/A
production_promotion: FAIL

overall_pre_archive: PASS
