Record ID,Entry Sequence,Vehicle,Entry Type,Date,Odometer,Total Miles,Gallons,Fuel Grade,Ethanol Free,Fuel Price Per Gallon,Total Fuel Cost,Fuel Cost Source,MPG,Fuel Station,Fuel Brand,Data Quality,Notes
CJ7-0001,1,Jeep CJ7,Fuel,,98109.4,147.65,14.5,90,Yes,,,,10.2,,,Verified,
CJ7-0002,2,Jeep CJ7,Fuel,,97961.75,137.65,16.75,89,Yes,,,,8.2,,,Verified,evaporation?
CJ7-0003,3,Jeep CJ7,Fuel,,97824.1,139.4,13.9,87,No,,,,10.03,,,Verified,
CJ7-0004,4,Jeep CJ7,Fuel,,97684.7,185.0,21.0,90,Yes,,,,8.8,,,Verified,18+3 gallons
CJ7-0005,5,Jeep CJ7,Fuel,,97499.7,142.0,13.65,,No,,,,10.4,,,Verified,
CJ7-0006,6,Jeep CJ7,Fuel,,97357.7,158.6,15.9,,No,,,,9.98,,,Verified,
CJ7-0007,7,Jeep CJ7,Fuel,,97199.1,140.6,12.6,,No,,,,11.16,,,Verified,p
CJ7-0008,8,Jeep CJ7,Fuel,,97058.5,182.5,16.0,,No,,,,11.41,,,Verified,
CJ7-0009,9,Jeep CJ7,Fuel,,96876.0,163.8,15.72,,No,,,,10.42,,,Verified,
CJ7-0010,10,Jeep CJ7,Fuel,,96712.2,156.7,15.3,,No,,,,10.24,,,Verified,
CJ7-0011,11,Jeep CJ7,Fuel,,96555.5,151.0,12.36,89,No,,,,12.22,,,Verified,
CJ7-0012,12,Jeep CJ7,Fuel,,96404.5,168.6,15.9,,No,,,,10.6,,,Verified,
CJ7-0013,13,Jeep CJ7,Fuel,,96235.9,144.8,13.52,89,No,,,,10.7,,,Verified,
CJ7-0014,14,Jeep CJ7,Fuel,,96091.1,133.3,11.55,89,No,,,,11.53,,,Verified,
CJ7-0015,15,Jeep CJ7,Fuel,,95957.8,107.3,9.28,,Yes,,,,11.56,,,Verified,
CJ7-0016,16,Jeep CJ7,Fuel,,95850.5,41.0,3.86,,Yes,,,,10.62,,,Verified,
CJ7-0017,17,Jeep CJ7,Fuel,,95809.5,185.7,17.0,,Yes,,,,10.4,,,Verified,includes 4 Nitro
CJ7-0018,18,Jeep CJ7,Fuel,,95623.8,87.5,6.5,,No,,,,13.5,,,Verified,
CJ7-0019,19,Jeep CJ7,Fuel,,95536.3,101.4,11.0,,No,,,,9.3,,,Verified,
CJ7-0020,20,Jeep CJ7,Fuel,,95434.9,94.2,9.4,,Yes,,,,10.0,,,Verified,
CJ7-0021,21,Jeep CJ7,Fuel,,95340.7,166.0,13.5,,No,,,,12.94,,,Verified,
CJ7-0022,22,Jeep CJ7,Fuel,,95174.7,140.4,11.56,,Yes,,,,12.15,,,Verified,
CJ7-0023,23,Jeep CJ7,Fuel,,95034.3,142.8,13.1,89,No,,,,10.9,,,Verified,
CJ7-0024,24,Jeep CJ7,Fuel,,94891.5,62.0,6.6,,No,,,,9.4,,,Verified,Stray 'MPG' line appeared before this entry in source notes
CJ7-0025,25,Jeep CJ7,Fuel,,94829.5,91.2,8.3,,Yes,,,,11.0,,,Verified,
CJ7-0026,26,Jeep CJ7,Fuel,,94738.3,72.95,7.83,,Yes,,,,9.35,,,Verified,
CJ7-0027,27,Jeep CJ7,Fuel,,94665.35,149.35,12.17,,Yes,,,,12.27,,,Verified,
CJ7-0028,28,Jeep CJ7,Fuel,,94516.0,71.1,6.8,,Yes,,,,10.45,,,Verified,
CJ7-0029,29,Jeep CJ7,Fuel,,94444.9,121.8,10.9,,Yes,,,,11.2,,,Verified,
CJ7-0030,30,Jeep CJ7,Fuel,,94323.1,45.3,3.8,,Yes,,,,11.9,,,Verified,
CJ7-0031,31,Jeep CJ7,Fuel,,94277.8,68.9,6.6,,Yes,,,,10.4,,,Verified,
CJ7-0032,32,Jeep CJ7,Fuel,,94208.9,89.0,7.67,,Yes,,,,11.6,,,Verified,
CJ7-0033,33,Jeep CJ7,Fuel,,94119.9,61.15,4.8,,Yes,,,,12.7,,,Verified,
CJ7-0034,34,Jeep CJ7,Fuel,,94058.75,215.4,9.2,,No,,,,23.41,,,Review,Calculated MPG likely inflated due to probable missing fill-up between 94058.75 and 93843.35
CJ7-0035,35,Jeep CJ7,Fuel,,93843.35,182.35,19.913,,No,,,,9.16,,,Verified,Historical combined note: 4.413 + 15.5 gallons; original MPG preserved
CJ7-0036,36,Jeep CJ7,Fuel,,93661.0,130.0,12.97,,No,,,,10.02,,,Verified,Split historical row from Start 93531 / End 93661; MPG calculated as 130.00 / 12.97
CJ7-0037,37,Jeep CJ7,Historical Marker,,93531.0,,,,No,,,,,,,Historical,Historical starting odometer marker only; no gallons recorded
